Age,Farmsize,TechEngagement,RiskPref,DSTExperience,AdvisorExperience,True_DeltaPerformance_Q0,True_DeltaPerformance_Q1,True_DeltaPerformance_Q2,AIA_1,AIA_10,AIA_11,AIA_12,AIA_13,AIA_14,AIA_15,AIA_16,AIA_2,AIA_3,AIA_4,AIA_5,AIA_6,AIA_7,AIA_8,AIA_9,BI_1,BI_2,BI_3,Delta_WTP_Q0_relTo90,Delta_WTP_Q1_relTo90,Delta_WTP_Q2_relTo90,EE_1,EE_2,EE_3,PE_1,PE_2,PE_3,PE_4,SI_1,SI_2
2.4507351855977304,-0.7128756357220375,-0.5569422247425542,0.31688563935064806,0.7751555691162563,-1.0432665883997891,-0.05,0.05,0.0,3,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,6,4,0,2.1184876,1.76939,1.7337452,4,6,4,0,2,3,2,1,3
2.9664193609681258,0.6659940658679773,1.4906394838697772,1.25257158231516,-1.0444584428937347,1.5476272569639258,0.1,-0.05,-0.1,2,1,2,2,0,5,3,2,1,0,6,0,0,0,4,2,0,2,0,0.51709616,0.20791376,0.08950621,2,3,3,0,0,0,0,6,1
-0.9841870317140293,-0.3681582103245338,-0.5569422247425542,1.25257158231516,1.230059072118754,1.5476272569639258,0.05,0.0,0.1,5,3,0,4,2,2,0,2,2,2,6,4,3,3,0,2,0,3,0,0.35251194,0.21450841,0.28700477,2,3,6,3,4,2,2,3,5
-0.8737191208302364,-1.4023104865170448,-0.04504679758947133,0.9406762679936561,0.7751555691162563,1.1158116160699734,0.05,-0.05,0.1,2,1,0,0,1,0,3,0,2,0,2,3,4,1,0,3,6,3,4,0.7445253,0.49392122,0.7135563,1,6,6,3,5,2,2,4,5
0.6880231260867911,0.32127664047047355,-0.04504679758947133,-0.9306956179353679,-1.0444584428937347,-0.6114509475058367,-0.1,0.0,0.05,2,2,0,1,0,3,0,1,1,0,3,2,2,0,0,0,6,3,3,0.5439229,0.679249,0.6503293,2,1,3,3,4,4,1,0,2
1.7810945515370589,-1.4023104865170448,-1.58073307904872,0.9406762679936561,0.7751555691162563,1.5476272569639258,-0.05,-0.1,0.1,1,2,2,1,1,3,4,1,0,0,5,0,4,1,0,5,6,3,3,1.4171591,0.9052494,1.1728314,1,6,5,0,2,2,0,3,3
2.017373429512431,-0.3681582103245338,-1.58073307904872,0.31688563935064806,0.3202520661137585,-1.4750822292937418,0.05,0.1,0.1,0,1,0,0,0,1,4,2,0,0,0,0,0,0,1,0,6,4,3,1.4458891,1.5464447,1.244814,5,6,6,3,2,1,1,2,0
0.086346041719977,1.0107114912654809,1.4906394838697772,-1.242590932256872,0.3202520661137585,1.5476272569639258,0.0,0.05,-0.05,4,1,0,1,0,6,1,3,1,0,3,2,1,5,4,4,3,4,3,0.48354322,0.39732665,0.6383488,2,0,4,0,2,1,2,0,0
-0.038763057360285,1.7001463420604883,-1.068837651895637,0.628780953672152,-1.4993619458962326,0.25218033428206826,0.05,-0.05,0.0,6,6,5,4,5,5,4,2,3,2,5,5,5,5,6,3,6,3,3,-0.5342708,-0.50923306,-0.74505866,2,3,4,3,3,2,1,3,2
-0.20885502208176634,1.7001463420604883,0.4668486295636115,0.0049903250291440686,-1.0444584428937347,-1.0432665883997891,-0.1,0.1,-0.1,0,3,2,4,4,5,2,2,3,2,6,4,0,5,4,0,0,4,5,-0.1830574,-0.17262307,0.03345626,2,1,0,3,5,2,1,4,1
0.3609869455477431,-0.3681582103245338,-0.04504679758947133,1.25257158231516,0.7751555691162563,1.1158116160699734,0.0,-0.1,0.1,3,2,3,4,0,2,3,1,2,2,1,0,3,1,4,3,3,3,4,0.59100306,0.60851854,0.5209459,2,5,3,3,0,1,3,1,3
0.3969653247350001,-1.4023104865170448,0.9787440567166944,-1.554486246578376,1.230059072118754,0.25218033428206826,0.05,0.1,0.1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,4,1,4,4,2.0480719,1.8626482,1.6067171,2,3,5,0,2,2,4,2,2
-0.6103388376001546,-0.7128756357220375,0.4668486295636115,1.25257158231516,1.230059072118754,-1.4750822292937418,0.0,-0.1,0.05,2,1,3,4,1,1,1,1,2,0,2,0,0,0,3,3,6,5,5,1.2092268,0.9065726,1.1542755,2,3,6,6,4,1,2,2,0
0.20555851640568507,-0.3681582103245338,-1.068837651895637,-0.618800303613864,-1.4993619458962326,1.1158116160699734,-0.1,0.05,0.1,2,3,2,5,1,3,3,2,3,3,5,3,4,4,4,6,5,2,6,-0.06276377,0.32832688,0.3199831,1,6,0,2,0,2,1,2,2
1.7796323840423633,-0.02344078492703012,1.4906394838697772,1.5644668966366642,0.3202520661137585,-0.1796353066118842,0.1,-0.05,0.05,1,0,2,2,0,0,0,0,1,1,2,0,1,3,2,0,3,2,3,1.1711427,1.0874614,1.1016735,2,3,6,1,2,2,1,2,2
-0.5130234902669246,-1.4023104865170448,1.4906394838697772,-1.554486246578376,-0.589554939891237,0.6839959751760207,-0.1,0.05,0.0,0,2,0,2,2,1,2,6,2,0,0,3,2,2,2,6,6,6,6,0.9794875,0.6688658,0.8942399,1,2,0,5,2,3,1,1,2
-0.4935959989345474,-0.3681582103245338,0.9787440567166944,-0.618800303613864,-1.0444584428937347,0.6839959751760207,0.1,0.1,0.1,6,3,2,4,2,0,3,3,4,0,1,3,4,2,4,5,6,3,3,0.16098332,0.19036666,0.52919984,1,2,2,1,0,2,4,1,0
-1.8176966372854408,1.3554289166629847,-0.04504679758947133,-0.9306956179353679,-0.13465143688873926,-1.0432665883997891,0.05,-0.1,0.0,0,3,0,6,1,1,4,3,5,2,0,0,6,2,3,1,6,4,1,0.049623918,0.28844887,-0.27338102,1,2,0,3,4,6,2,2,0
0.3500453699381991,1.3554289166629847,-0.04504679758947133,1.5644668966366642,1.230059072118754,-0.6114509475058367,-0.05,0.0,0.1,3,3,3,4,6,4,6,1,3,3,2,3,5,5,4,0,0,3,5,0.4367927,0.63920456,0.9694865,2,6,3,3,0,0,2,2,0
0.6676664405510457,-1.0575930611195412,0.9787440567166944,0.31688563935064806,0.7751555691162563,-0.1796353066118842,0.05,0.05,-0.1,0,0,0,0,0,1,0,1,1,2,2,2,0,1,0,2,6,4,3,1.4555392,1.4893234,1.2612902,3,3,1,2,3,2,2,2,4
-0.29687175973561114,1.3554289166629847,0.4668486295636115,0.9406762679936561,0.3202520661137585,1.5476272569639258,0.0,-0.05,-0.05,3,3,4,5,6,4,3,2,6,4,3,4,6,3,3,3,0,0,6,0.016120493,-0.36033395,-0.48184112,1,3,1,1,3,4,0,3,2
0.15320028741370015,-1.4023104865170448,0.9787440567166944,0.31688563935064806,-1.0444584428937347,0.6839959751760207,-0.05,0.05,0.0,4,2,2,1,4,5,1,2,2,4,0,2,4,0,4,2,0,4,6,0.42172694,0.37021622,0.9502808,1,3,3,3,0,2,1,0,3
-1.34576942964323,-0.7128756357220375,0.9787440567166944,-1.554486246578376,1.230059072118754,-0.6114509475058367,-0.1,-0.05,-0.05,0,2,0,1,0,2,0,1,1,0,0,0,0,1,1,1,6,6,6,1.0502654,0.8096787,0.6508711,3,4,3,1,4,2,0,2,0
-0.6966973150661128,1.7001463420604883,0.4668486295636115,0.9406762679936561,0.3202520661137585,-0.6114509475058367,0.1,-0.05,0.0,2,3,4,2,1,3,4,6,6,0,2,3,0,1,5,6,0,4,5,-0.017206244,-0.11458413,0.021441303,5,3,6,2,3,2,0,2,3
1.5187590335233565,-0.7128756357220375,-0.04504679758947133,-1.554486246578376,1.6849625751212518,1.5476272569639258,0.1,0.05,0.1,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,5,0,1.6256617,1.4964039,1.96419,3,6,2,0,2,2,1,3,0
-1.0492569644987941,1.3554289166629847,0.4668486295636115,1.25257158231516,-0.13465143688873926,1.1158116160699734,0.05,0.05,0.05,5,5,3,6,1,3,5,5,4,5,2,6,0,5,6,6,2,4,3,-0.39034918,-0.6681792,-0.0792546,4,3,0,1,1,1,2,4,1
0.7731603265831037,-1.4023104865170448,0.9787440567166944,0.9406762679936561,1.230059072118754,-0.6114509475058367,0.05,0.05,0.05,0,0,0,0,0,0,3,0,0,1,1,1,0,0,6,0,3,4,6,1.6938652,1.7830714,1.5014373,3,6,6,1,4,2,3,2,0
0.40735401553128775,-0.3681582103245338,0.4668486295636115,-1.554486246578376,-1.0444584428937347,1.1158116160699734,0.05,0.1,0.1,2,3,2,0,3,2,4,2,1,0,3,4,2,1,0,4,3,2,5,0.70391244,0.62672263,0.69617254,2,4,2,3,2,3,2,0,3
-0.35332945598897686,1.7001463420604883,-1.58073307904872,0.628780953672152,0.7751555691162563,0.25218033428206826,0.0,0.1,-0.05,3,3,2,6,4,6,2,2,2,2,0,3,5,4,2,5,4,2,3,0.0718132,-0.1795237,-0.02052053,2,5,0,0,0,4,2,2,4
-1.513582308472179,1.0107114912654809,-0.04504679758947133,0.9406762679936561,-0.13465143688873926,-1.0432665883997891,-0.05,0.1,0.05,4,1,4,5,2,3,0,2,5,3,3,1,2,5,5,2,3,3,3,-0.07355964,-0.11342245,0.003937956,0,2,3,2,4,2,3,2,0
0.4099560123769824,1.7001463420604883,-1.068837651895637,0.0049903250291440686,0.3202520661137585,-1.0432665883997891,0.05,0.1,0.05,3,2,5,3,0,4,0,2,2,2,3,2,1,3,0,4,4,4,4,0.533623,0.53767526,0.13738456,3,2,5,3,2,2,1,3,1
2.7324075570472237,1.7001463420604883,0.9787440567166944,0.0049903250291440686,1.6849625751212518,-1.4750822292937418,0.0,0.0,-0.05,0,1,0,0,0,1,0,0,0,0,1,1,0,3,0,0,6,6,4,1.6751921,1.7701794,1.5439534,4,6,4,2,0,2,1,0,1
0.8359777843560754,-0.3681582103245338,-1.58073307904872,0.628780953672152,-1.4993619458962326,-0.1796353066118842,0.1,-0.05,-0.05,4,2,1,0,3,2,1,2,1,3,1,4,0,1,4,4,2,2,6,0.16835727,0.25654855,0.1881975,2,1,5,3,0,2,1,5,5
0.9282464200402982,-0.3681582103245338,-0.5569422247425542,1.25257158231516,-0.13465143688873926,1.5476272569639258,0.0,0.05,0.05,4,1,3,4,1,2,5,0,1,2,0,4,1,6,3,2,2,3,0,0.21595535,0.60345,0.6156963,1,3,3,1,0,2,0,2,0
1.019442135980774,1.0107114912654809,-1.58073307904872,0.9406762679936561,1.230059072118754,1.1158116160699734,-0.1,0.1,0.1,4,2,2,3,3,3,0,1,4,4,3,0,3,1,1,5,2,3,0,0.114118084,0.26007143,0.6416992,2,5,6,0,2,2,1,2,3
-1.3397775118586663,-1.0575930611195412,-1.068837651895637,-0.30690498929235993,-1.4993619458962326,-0.6114509475058367,-0.05,-0.05,-0.05,0,2,3,5,5,6,2,4,3,4,3,1,5,4,0,3,6,4,3,0.06990618,0.20970866,0.12409371,1,3,0,3,5,2,4,4,3
1.997432399252462,-0.3681582103245338,-0.5569422247425542,1.25257158231516,-0.589554939891237,-0.6114509475058367,0.0,0.0,0.1,3,1,1,3,0,0,0,2,1,0,0,1,1,0,4,0,3,3,5,1.2920414,0.9117801,0.9862435,3,5,5,0,0,0,1,3,2
0.6497108912320573,-0.02344078492703012,0.9787440567166944,-0.618800303613864,-1.0444584428937347,-0.1796353066118842,0.0,-0.1,0.1,5,2,4,2,1,6,1,0,2,0,2,3,0,5,3,0,5,4,5,0.48231465,0.72541213,0.5219923,1,1,4,1,0,2,4,4,1
0.8259022361467505,-0.3681582103245338,0.9787440567166944,-0.9306956179353679,-0.589554939891237,1.5476272569639258,0.05,-0.05,0.05,3,2,2,3,2,4,2,2,3,1,0,3,4,2,0,1,3,3,0,0.8207251,0.7708381,0.60837847,0,2,0,5,3,2,2,0,0
