Age,Farmsize,TechEngagement,RiskPref,DSTExperience,AdvisorExperience,TruePerformance_relTo90,AIA_1,AIA_10,AIA_11,AIA_12,AIA_13,AIA_14,AIA_15,AIA_16,AIA_2,AIA_3,AIA_4,AIA_5,AIA_6,AIA_7,AIA_8,AIA_9,BI_1,BI_2,BI_3,EE_1,EE_2,EE_3,PE_1,PE_2,PE_3,PE_4,SI_1,SI_2,WTP_DST_relTo90,WTP_H_relTo90
0.2146548574852171,-0.5133975466788199,1.0032280421537043,0.6559409665548231,-0.9861575348712327,0.2747228706871439,-5,3,2,3,2,4,0,1,4,4,0,0,4,2,4,5,1,1,1,3,2,5,3,4,3,5,3,4,4,-1.3977114,-1.9339178
-0.20388041196942547,0.18226308567730462,1.0032280421537043,-0.31822878575432034,-0.9861575348712327,-0.1572313285064785,5,0,5,3,2,2,1,1,4,0,0,3,2,1,2,1,0,1,0,2,4,4,4,1,3,5,0,4,4,4.837154,2.3075333
-1.4872754323629163,-1.5568884952130064,0.4785271832867041,0.6559409665548231,1.5381364963691242,0.7066770698807663,5,5,2,0,2,2,3,1,6,3,3,1,3,3,0,4,3,3,4,4,4,1,3,3,1,5,4,1,4,3.3958492,3.6549113
-0.035616533763241795,-0.861227862856882,-0.04617367558029606,-1.2923985380634637,-1.4068732067446255,1.570585468268011,-5,4,1,4,0,2,2,1,2,5,3,0,5,2,1,1,1,3,4,4,1,2,6,6,3,3,3,4,1,-3.4831023,-1.5600005
0.5089461103987601,0.5300934018553668,0.4785271832867041,-0.31822878575432034,1.5381364963691242,-1.4530939260873457,5,2,3,0,2,4,0,1,1,3,0,0,0,3,0,1,0,2,1,1,5,6,1,1,4,4,3,3,2,4.92674,3.3561451
2.7235467515581715,-1.2090581790349442,-1.0955753933142964,1.6301107188639665,-1.4068732067446255,-0.5891855277001009,5,3,6,6,3,5,3,4,4,6,4,4,6,4,4,5,5,0,0,1,4,6,4,5,1,0,0,4,4,1.1001347,4.555907
0.13194104945108245,-1.5568884952130064,0.4785271832867041,0.9806642173245376,0.6967051526223386,1.570585468268011,0,2,5,6,5,5,6,6,6,5,4,6,5,4,3,5,1,1,0,1,1,1,0,4,6,5,3,2,3,1.3586923,1.8058026
0.2720890894997869,-0.1655672305007576,-0.04617367558029606,1.305387468094252,1.1174208244957313,-1.0211397268937232,0,1,5,1,3,1,0,2,4,0,5,4,4,1,0,1,0,1,4,0,2,4,5,1,3,5,0,5,6,3.770598,1.716572
-1.3950606475779541,1.5735843503895535,1.0032280421537043,1.6301107188639665,-1.4068732067446255,1.570585468268011,-5,1,1,0,0,0,0,0,0,0,0,4,0,4,2,0,0,4,3,4,4,5,3,3,2,5,3,5,4,1.2307993,-2.228547
-0.9450144011750647,-0.861227862856882,1.5279289010207047,0.9806642173245376,1.5381364963691242,-0.1572313285064785,-5,4,5,2,1,2,1,5,3,0,5,3,0,3,2,4,4,1,3,2,0,4,3,6,4,3,0,4,5,-0.78611046,-0.63431287
0.18358425697237904,0.5300934018553668,0.4785271832867041,-0.6429520365240348,-0.9861575348712327,1.1386312690743887,-5,0,2,4,1,4,3,2,6,3,1,4,3,2,3,4,0,3,1,4,2,4,5,6,6,3,3,6,4,-2.782309,-1.8002017
-0.7563035998984629,0.8779237180334291,1.5279289010207047,0.6559409665548231,-0.5654418629978399,0.7066770698807663,-5,0,2,0,2,0,0,1,3,0,1,2,5,2,2,0,0,3,1,2,2,3,3,5,2,5,2,4,5,-0.35456762,-2.196801
0.9587502952227254,-0.861227862856882,-0.04617367558029606,1.6301107188639665,0.6967051526223386,1.1386312690743887,0,3,4,4,4,2,3,2,6,3,4,6,5,3,5,6,5,1,1,2,0,5,2,3,0,1,1,1,2,-0.8071747,1.4803872
0.17454357124396086,-0.861227862856882,-0.5708745344472963,0.6559409665548231,-0.9861575348712327,1.570585468268011,-5,3,3,3,2,2,1,5,5,4,5,4,6,3,2,5,1,3,4,4,5,2,3,6,5,5,3,4,2,-2.2510738,-1.5629488
1.0810401293129883,-0.1655672305007576,-0.5708745344472963,-0.9676752872937493,-1.4068732067446255,-1.4530939260873457,5,0,0,0,0,0,0,1,3,2,3,3,0,1,3,3,1,2,1,3,5,5,2,5,2,5,1,1,2,4.0781775,2.3071287
1.5758329311737824,1.5735843503895535,1.5279289010207047,-0.6429520365240348,0.6967051526223386,1.1386312690743887,5,5,3,5,6,2,3,4,6,5,4,5,6,4,2,5,5,0,0,0,4,5,0,0,1,1,0,2,5,3.4821384,3.9856138
0.8989097735241751,-0.861227862856882,-1.6202762521812968,0.6559409665548231,-0.5654418629978399,-1.4530939260873457,-5,3,0,3,2,2,2,1,6,3,1,3,5,3,2,3,1,1,4,2,5,6,6,1,2,2,3,1,4,0.35089183,-2.0625005
-0.20495329748223795,0.5300934018553668,1.5279289010207047,-0.9676752872937493,0.27598948074894575,-0.5891855277001009,0,0,0,2,2,0,3,1,5,6,0,2,0,2,0,4,0,4,1,2,4,2,2,2,3,5,4,5,2,2.0333734,0.24820763
